positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
资深文案策划,上海盖杰实业有限公司,15-50人,"移动互联网,电商",未融资,运营|编辑|客服类,编辑,文案策划,"['电商', '媒体', '策划', '文案', '内容', '热点']",2020-09-04 09:41:15,上海,浦东新区,,8k-16k,3-5年,全职,大专,团队氛围好、弹性工作、智能产品、
中级测试工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",B轮,开发|测试|运维类,测试,测试工程师,['功能测试'],2020-09-04 09:41:11,上海,浦东新区,['金桥'],10k-14k,3-5年,全职,本科,发展前景良好、上班氛围轻松愉悦、五险一金
高级通用测试工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",B轮,开发|测试|运维类,测试,测试工程师,"['汽车', '即时通讯', '功能测试', '测试开发', '系统测试']",2020-09-04 09:41:10,上海,浦东新区,['金桥'],18k-28k,5-10年,全职,本科,五险一金、做五休二、氛围轻松
后端开发工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",B轮,开发|测试|运维类,后端开发,后端开发,"['大数据', '即时通讯', 'Java']",2020-09-04 09:41:10,上海,浦东新区,,20k-28k,5-10年,全职,本科,做五休二 五险一金 工作稳定
高级测试,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",B轮,开发|测试|运维类,测试,测试工程师,['功能测试'],2020-09-04 09:41:10,上海,浦东新区,['金桥'],18k-28k,5-10年,全职,本科,发展前景良好、做五休二，加班补休
高级测试工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",B轮,开发|测试|运维类,测试,测试工程师,"['信息安全', '即时通讯']",2020-09-04 09:41:10,上海,浦东新区,['金桥'],18k-28k,3-5年,全职,硕士,发展前景良好、做五休二，加班补休
devops开发工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",B轮,开发|测试|运维类,运维,运维开发工程师,"['信息安全', '大数据', 'DevOps/AIOps']",2020-09-04 09:41:10,上海,浦东新区,['金桥'],25k-40k,5-10年,全职,本科,做五休二 五险一金 工作稳定
后端开发工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",B轮,开发|测试|运维类,后端开发,后端开发,"['移动互联网', '通信/网络设备', 'Java', 'MySQL', '数据库', '架构师']",2020-09-04 09:41:10,上海,浦东新区,,20k-30k,5-10年,全职,本科,大型国企，发展前景良好、做五休二，加班补休
中级测试工程师（安全领域）,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",B轮,开发|测试|运维类,测试,安全测试,"['信息安全', '移动互联网', '安全测试', '系统测试', '功能测试', '接口测试']",2020-09-04 09:41:10,上海,浦东新区,,10k-16k,3-5年,全职,本科,做五休二 五险一金 工作稳定
测试中级,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",B轮,开发|测试|运维类,测试,测试工程师,['功能测试'],2020-09-04 09:41:10,上海,浦东新区,['金桥'],10k-14k,3-5年,全职,本科,发展前景良好、上班氛围轻松愉悦、五险一金
