name,company,company_size,field,workarea,background,education,low_salary,high_salary
网络销售（微信营销5险1金）,成都随身学教育科技有限公司,500-2000人,"移动互联网,教育",成都,1-3年,大专,7,11
运营专员,广州九尾信息科技有限公司,150-500人,"移动互联网,消费生活",广州,1年以下,本科,4,7
自媒体运营,深圳市合泰文化发展有限公司,50-150人,"移动互联网,文娱丨内容",深圳,1-3年,本科,10,15
自如管家,北京自如生活企业管理有限公司,2000人以上,房产家居,北京,1年以下,本科,7,9
商城运营,深圳市合泰文化发展有限公司,50-150人,"移动互联网,文娱丨内容",深圳,不限,本科,8,15
天猫运营经理,深圳市合泰文化发展有限公司,50-150人,"移动互联网,文娱丨内容",深圳,5-10年,本科,20,35
电商运营,深圳市合泰文化发展有限公司,50-150人,"移动互联网,文娱丨内容",深圳,不限,本科,8,15
自如网销售专员,北京自如生活企业管理有限公司,2000人以上,房产家居,北京,不限,本科,10,15
Android开发工程师,深圳市丰巢科技有限公司,500-2000人,消费生活,武汉,1-3年,本科,10,20
网页讲师,北京工商管理专修学院,2000人以上,教育,北京,1-3年,大专,7,9
产品经理（电商）,华安财产保险股份有限公司,2000人以上,金融,深圳,3-5年,本科,15,25
JAVA开发,华安财产保险股份有限公司,2000人以上,金融,深圳,3-5年,本科,10,20
H5前端开发实训讲师,北京工商管理专修学院,2000人以上,教育,北京,3-5年,大专,13,25
JAVA开发,华安财产保险股份有限公司,2000人以上,金融,深圳,3-5年,本科,15,20
VR游戏 讲师,北京工商管理专修学院,2000人以上,教育,北京,3-5年,大专,12,18
系统测试设计岗,华安财产保险股份有限公司,2000人以上,金融,深圳,3-5年,本科,13,20
计算机基础老师,北京工商管理专修学院,2000人以上,教育,北京,1-3年,大专,7,9
java开发实训讲师,北京工商管理专修学院,2000人以上,教育,北京,3-5年,大专,12,16
教官/班主任,北京工商管理专修学院,2000人以上,教育,北京,1-3年,大专,5,8
ios开发工程师,华安财产保险股份有限公司,2000人以上,金融,深圳,3-5年,本科,15,20
JAVA开发（高级JAVA）,华安财产保险股份有限公司,2000人以上,金融,深圳,5-10年,本科,15,25
数据建模,华安财产保险股份有限公司,2000人以上,金融,深圳,3-5年,本科,20,34
需求分析师,华安财产保险股份有限公司,2000人以上,金融,深圳,3-5年,本科,12,20
品牌宣传,聚合吧科技有限公司,50-150人,"移动互联网,金融",深圳,1-3年,大专,10,15
产品经理（游戏）,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,3-5年,本科,15,20
游戏运营专员,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,1-3年,大专,8,12
课程顾问销售（线上K12）,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,1-3年,大专,6,12
用户运营（K12教育）,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,3-5年,本科,15,25
ios开发工程师,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,3-5年,本科,12,18
android开发工程师,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,3-5年,本科,15,25
招聘专员,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,1-3年,本科,6,10
游戏主策划,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,5-10年,本科,25,30
游戏渠道运营,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,1-3年,大专,6,10
内容运营,杭州青塔科技有限公司,50-150人,"移动互联网,数据服务",杭州,不限,硕士,8,10
java高级开发工程师,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,5-10年,本科,15,25
人力资源实习生,杭州青塔科技有限公司,50-150人,"移动互联网,数据服务",杭州,应届毕业生,本科,3,4
新媒体运营实习生,杭州青塔科技有限公司,50-150人,"移动互联网,数据服务",杭州,应届毕业生,硕士,3,4
游戏客服主管,北京视游互动科技有限公司,150-500人,"移动互联网,游戏",北京,3-5年,本科,8,12
行业研究（高等教育）,杭州青塔科技有限公司,50-150人,"移动互联网,数据服务",杭州,1-3年,硕士,8,15
高级软件工程师,深圳市德为智能科技有限公司,15-50人,"人工智能,其他",深圳,3-5年,本科,10,20
区域销售专员,湖南李我他公寓管理有限公司,50-150人,"消费生活,其他",长沙,应届毕业生,不限,4,7
财务会计,深圳市德为智能科技有限公司,15-50人,"人工智能,其他",深圳,1-3年,本科,7,10
文员,湖南李我他公寓管理有限公司,50-150人,"消费生活,其他",长沙,1-3年,大专,3,4
高级系统策划(玩法）,深圳市昊飞网络科技有限公司,50-150人,游戏,深圳,5-10年,大专,18,25
销售主管（信息流广告业务）,深圳市豪斯莱科技有限公司,50-150人,移动互联网,深圳,5-10年,大专,20,40
前端开发工程师,深圳市豪斯莱科技有限公司,50-150人,移动互联网,深圳,1-3年,本科,9,14
财务助理,深圳市豪斯莱科技有限公司,50-150人,移动互联网,深圳,1年以下,本科,4,7
广告优化师/主管,深圳市豪斯莱科技有限公司,50-150人,移动互联网,深圳,3-5年,大专,12,24
hrbp,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",北京,1-3年,本科,6,8
中高级招聘专员,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",大连,1-3年,本科,4,6
高级招聘,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",上海,3-5年,本科,8,11
交付专员,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",杭州,1-3年,本科,6,8
高级招聘专员,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",广州,3-5年,大专,7,10
抖音短视频编导,广州超链信息技术有限公司,50-150人,"移动互联网,电商",广州,3-5年,大专,8,10
c++工程师(J10145),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,应届毕业生,本科,9,15
测试工程师(J10149),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,应届毕业生,本科,7,12
网络工程师(J10152),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,应届毕业生,本科,7,12
解决方案工程师(J10156),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,应届毕业生,本科,9,18
售前技术支持工程师(J10178),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,应届毕业生,本科,6,11
FPGA工程师(J10177),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,应届毕业生,本科,9,15
Java工程师(J10176),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,应届毕业生,本科,8,14
销售助理,深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,1-3年,本科,7,12
解决方案工程师(J10169),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,应届毕业生,本科,9,15
销售专员(J10164),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",北京,应届毕业生,本科,7,12
c++工程师(J10107),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,1-3年,本科,14,25
高级测试工程师(J10099),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,3-5年,本科,14,21
高级测试工程师(J10098),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",长沙,3-5年,本科,10,15
c++高级开发工程师(J10113),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,3-5年,本科,22,35
c++工程师(J10175),深圳华锐金融技术股份有限公司,150-500人,"移动互联网,金融",深圳,应届毕业生,本科,9,15
项目运营,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,3-5年,本科,12,18
社群销售/微信运营,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,不限,本科,5,10
资深产品经理（C端用户增长方向）,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,5-10年,不限,20,40
资深销售经理/资深投资顾问,深圳众禄基金销售股份有限公司,150-500人,"移动互联网,金融",深圳,3-5年,大专,50,100
运维工程师,深圳众禄基金销售股份有限公司,150-500人,"移动互联网,金融",深圳,1-3年,大专,13,20
互联网运营经理,深圳众禄基金销售股份有限公司,150-500人,"移动互联网,金融",深圳,5-10年,本科,18,22
韩语课程顾问,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,不限,本科,8,15
用户产品经理,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,5-10年,本科,20,40
内容运营主编,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,5-10年,本科,20,30
日语留学顾问,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,不限,不限,6,9
系统工程师,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,3-5年,本科,8,10
外贸业务员,义乌市年盛进出口有限公司,50-150人,电商,金华,1年以下,本科,5,10
python（web）,深圳众禄基金销售股份有限公司,150-500人,"移动互联网,金融",深圳,3-5年,大专,15,25
系统工程师,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,3-5年,本科,8,12
高级英语教研老师,沪江教育科技（上海）股份有限公司,500-2000人,教育,上海,3-5年,本科,15,30
品牌视觉设计师,上海盖杰实业有限公司,15-50人,"移动互联网,电商",上海,3-5年,大专,10,15
新媒体运营主管,上海盖杰实业有限公司,15-50人,"移动互联网,电商",上海,3-5年,大专,10,15
